id,date_achieved,stage,difficulty,stage_time,system,video_link,comments
0,1/1/0001,Defection,Agent,0:20:00,,,
0,1/1/0001,Defection,Special Agent,0:20:00,,,
0,1/1/0001,Defection,Perfect Agent,0:20:00,,,
0,1/1/0001,Investigation,Agent,0:20:00,,,
0,1/1/0001,Investigation,Special Agent,0:20:00,,,
0,1/1/0001,Investigation,Perfect Agent,0:20:00,,,
0,1/1/0001,Extraction,Agent,0:20:00,,,
0,1/1/0001,Extraction,Special Agent,0:20:00,,,
0,1/1/0001,Extraction,Perfect Agent,0:20:00,,,
0,1/1/0001,Villa,Agent,0:20:00,,,
0,1/1/0001,Villa,Special Agent,0:20:00,,,
0,1/1/0001,Villa,Perfect Agent,0:20:00,,,
0,1/1/0001,Chicago,Agent,0:20:00,,,
0,1/1/0001,Chicago,Special Agent,0:20:00,,,
0,1/1/0001,Chicago,Perfect Agent,0:20:00,,,
0,1/1/0001,G5,Agent,0:20:00,,,
0,1/1/0001,G5,Special Agent,0:20:00,,,
0,1/1/0001,G5,Perfect Agent,0:20:00,,,
0,1/1/0001,Infiltration,Agent,0:20:00,,,
0,1/1/0001,Infiltration,Special Agent,0:20:00,,,
0,1/1/0001,Infiltration,Perfect Agent,0:20:00,,,
0,1/1/0001,Rescue,Agent,0:20:00,,,
0,1/1/0001,Rescue,Special Agent,0:20:00,,,
0,1/1/0001,Rescue,Perfect Agent,0:20:00,,,
0,1/1/0001,Escape,Agent,0:20:00,,,
0,1/1/0001,Escape,Special Agent,0:20:00,,,
0,1/1/0001,Escape,Perfect Agent,0:20:00,,,
0,1/1/0001,Air Base,Agent,0:20:00,,,
0,1/1/0001,Air Base,Special Agent,0:20:00,,,
0,1/1/0001,Air Base,Perfect Agent,0:20:00,,,
0,1/1/0001,Air Force One,Agent,0:20:00,,,
0,1/1/0001,Air Force One,Special Agent,0:20:00,,,
0,1/1/0001,Air Force One,Perfect Agent,0:20:00,,,
0,1/1/0001,Crash Site,Agent,0:20:00,,,
0,1/1/0001,Crash Site,Special Agent,0:20:00,,,
0,1/1/0001,Crash Site,Perfect Agent,0:20:00,,,
0,1/1/0001,Pelagic II,Agent,0:20:00,,,
0,1/1/0001,Pelagic II,Special Agent,0:20:00,,,
0,1/1/0001,Pelagic II,Perfect Agent,0:20:00,,,
0,1/1/0001,Deep Sea,Agent,0:20:00,,,
0,1/1/0001,Deep Sea,Special Agent,0:20:00,,,
0,1/1/0001,Deep Sea,Perfect Agent,0:20:00,,,
0,1/1/0001,CI,Agent,0:20:00,,,
0,1/1/0001,CI,Special Agent,0:20:00,,,
0,1/1/0001,CI,Perfect Agent,0:20:00,,,
0,1/1/0001,Attack Ship,Agent,0:20:00,,,
0,1/1/0001,Attack Ship,Special Agent,0:20:00,,,
0,1/1/0001,Attack Ship,Perfect Agent,0:20:00,,,
0,1/1/0001,Skedar Ruins,Agent,0:20:00,,,
0,1/1/0001,Skedar Ruins,Special Agent,0:20:00,,,
0,1/1/0001,Skedar Ruins,Perfect Agent,0:20:00,,,
0,1/1/0001,MBR,Agent,0:20:00,,,
0,1/1/0001,MBR,Special Agent,0:20:00,,,
0,1/1/0001,MBR,Perfect Agent,0:20:00,,,
0,1/1/0001,Maian SOS,Agent,0:20:00,,,
0,1/1/0001,Maian SOS,Special Agent,0:20:00,,,
0,1/1/0001,Maian SOS,Perfect Agent,0:20:00,,,
0,1/1/0001,WAR!,Agent,0:20:00,,,
0,1/1/0001,WAR!,Special Agent,0:20:00,,,
0,1/1/0001,WAR!,Perfect Agent,0:20:00,,,
0,1/1/0001,Duel,Agent,0:20:00,,,
0,1/1/0001,Duel,Special Agent,0:20:00,,,
0,1/1/0001,Duel,Perfect Agent,0:20:00,,,
1,9/28/19,Defection,Agent,0:13:49,n,,
2,9/28/19,Investigation,Agent,0:17:36,n,,
3,9/28/19,Extraction,Agent,0:12:33,n,,
4,9/28/19,Villa,Agent,0:10:29,n,,
5,9/29/19,Chicago,Agent,0:03:23,n,,
6,9/30/19,G5,Agent,0:15:32,n,,
7,10/1/19,Infiltration,Agent,0:07:51,n,,
8,10/1/19,Rescue,Agent,0:14:18,n,,
9,10/1/19,Escape,Agent,0:06:24,n,,
10,10/1/19,Air Base,Agent,0:06:13,n,,
11,10/2/19,Air Force One,Agent,0:06:57,n,,
12,10/2/19,Crash Site,Agent,0:04:31,n,,
13,10/2/19,Pelagic II,Agent,0:40:05,n,,
14,10/2/19,Deep Sea,Agent,0:24:09,n,,
15,10/3/19,CI,Agent,0:04:45,n,,
16,10/3/19,Attack Ship,Agent,0:12:46,n,,
17,10/4/19,Defection,Agent,0:06:30,n,,
18,10/4/19,Defection,Agent,0:02:25,n,,
19,10/5/19,Pelagic II,Agent,0:17:29,n,,
20,10/5/19,Deep Sea,Agent,0:13:01,n,,
21,10/6/19,Skedar Ruins,Agent,0:11:19,n,,
22,10/7/19,Defection,Special Agent,0:15:32,n,,
23,10/7/19,Investigation,Agent,0:03:35,n,,
24,10/8/19,Investigation,Special Agent,0:11:18,n,,
25,10/9/19,Investigation,Special Agent,0:06:07,n,,
26,10/10/19,Investigation,Special Agent,0:05:30,n,,
27,10/11/19,Extraction,Agent,0:06:44,n,,
28,10/12/19,Villa,Agent,0:06:49,n,,Whoo! 2 minutes to midnight!
29,10/13/19,Pelagic II,Agent,0:11:44,n,,
30,10/13/19,Pelagic II,Agent,0:06:27,n,,
31,10/14/19,Pelagic II,Agent,0:03:24,n,,
32,10/14/19,Pelagic II,Agent,0:02:12,n,,
33,10/15/19,Pelagic II,Agent,0:01:54,n,,
34,10/16/19,Deep Sea,Agent,0:12:32,n,,
35,10/16/19,Deep Sea,Agent,0:06:49,n,,
36,10/17/19,Pelagic II,Agent,0:01:46,n,https://youtu.be/YpyH3dxSXSQ,
37,10/17/19,Deep Sea,Agent,0:06:16,n,https://youtu.be/9pPqnmM6yN4,
38,10/18/19,Extraction,Special Agent,0:08:28,n,,
39,10/18/19,Extraction,Agent,0:04:33,n,https://youtu.be/kGZ0RkdmUfU,
40,10/19/19,Extraction,Agent,0:02:23,n,,I could definitely get the cheat
41,10/20/19,Villa,Special Agent,0:09:39,n,,
42,10/20/19,Chicago,Special Agent,0:12:03,n,,
43,10/21/19,Villa,Agent,0:04:47,n,,My first run on a CRT. My first run with a video is my 3:06 Agent listed here.
44,10/21/19,Villa,Agent,0:03:06,n,https://youtu.be/NHJOnlMXcKk,My second run achieved on a CRT. The first was the 4:47 listed below.
45,10/22/19,Pelagic II,Agent,0:01:45,n,https://youtu.be/emAXudpRzbI,
46,10/23/19,MBR,Agent,0:04:39,n,,
47,10/24/19,G5,Agent,0:12:33,n,,
